session,mp_name,constituency.x,days_attended,nature_of_membership,start_of_term,end_of_term,no_of_term,standing_committee_membership,state,constituency.y,political_party,gender,educational_qualifications,educational_qualifications_details,age,debates,private_member_bills,questions,attendance,national_debates_average,national_private_member_bills_average,national_questions_average,national_attendance_average,states_debates_average,states_private_member_bills_average,states_questions_average,states_attendance_average,full_name
1,dharmendrakumar,aonla,6,elected,2014-05-18T00:00:00Z,inoffice,first,foodconsumeraffairs&publicdistribution,uttarpradesh,aonla,bharatiyajanataparty,male,matric,highschool,49,8,0,1,0.93,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Dharmendra Kumar
1,ghari,arakkonam,6,elected,2014-05-18T00:00:00Z,inoffice,first,industry,tamilnadu,arakkonam,allindiaannadravidamunnetrakazhagam,male,postgraduate,mabl,57,49,0,429,0.87,57.5,1.8,231,0.8,39.4,0,340,0.78,G. Hari
1,geethakothapalli,araku,6,elected,2014-05-18T00:00:00Z,inoffice,first,humanresourcedevelopment,andhrapradesh,araku,yuvajanasramikarythucongressparty,female,postgraduate,mapubadsociology,47,81,0,560,0.97,57.5,1.8,231,0.8,34.8,0.6,211,0.75,Kothapalli Geetha
1,aparupapoddar,arambagh,6,elected,2014-05-18T00:00:00Z,inoffice,first,waterresources,westbengal,arambagh,allindiatrinamoolcongress,female,postgraduate,llbmaenglish,32,67,0,64,0.8,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Aparupa Poddar (Afrin Ali)
1,velumalai,arani,6,elected,2014-05-18T00:00:00Z,inoffice,first,petroleum&naturalgas,tamilnadu,arani,allindiaannadravidamunnetrakazhagam,male,professionalgraduate,bcombl,62,66,0,382,0.86,57.5,1.8,231,0.8,39.4,0,340,0.78,V. Elumalai
1,taslimuddin,araria,6,elected,2014-05-18T00:00:00Z,17/09/2017,fifth,no,bihar,araria,rashtriyajanatadal,male,graduate,bamaulvi,75,0,0,2,0.79,54.2,1.6,215,0.8,48.4,2.5,149,0.88,Tasleem Uddin
1,rksingh,arrah,6,elected,2014-05-18T00:00:00Z,inoffice,first,no,bihar,arrah,bharatiyajanataparty,male,professionalgraduate,ballb,65,18,0,47,0.97,54.2,1.6,215,0.8,48.4,2.5,149,0.88,Raj Kumar Singh
1,ninongering,arunachaleast,6,elected,2014-05-18T00:00:00Z,inoffice,second,science&technologyenvironment&forests,arunachalpradesh,arunachaleast,indiannationalcongress,male,graduate,ba;educatedatjncollegepasighatarunachalpradesh,59,48,5,267,0.71,57.5,1.8,231,0.8,48,5,267,0.71,Ninong Ering
1,kirenrijiju,arunachalwest,4,elected,2014-05-18T00:00:00Z,inoffice,second,no,arunachalpradesh,arunachalwest,bharatiyajanataparty,male,professionalgraduate,"ballb
educatedathansrajcollegeandcampuslawcentrefacultyoflaw
universityofdelhi",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiren Rijiju
1,babulsupriyo,asansol,5,elected,2014-05-18T00:00:00Z,inoffice,first,no,westbengal,asansol,bharatiyajanataparty,male,graduate,bcomhons,47,0,0,0,0.45,5.1,0.1,18,0.8,3.3,0,8,0.66,Babul Supriya Baral (Babul Supriyo)
1,ladukishoreswain,aska,6,elected,2014-05-18T00:00:00Z,inoffice,first,ruraldevelopment,odisha,aska,bijujanatadal,male,graduate,ba,70,15,0,47,0.96,57.5,1.8,231,0.8,51.1,2.8,181,0.83,Ladu Kishore Swain
1,asampath,attingal,6,elected,2014-05-18T00:00:00Z,inoffice,third,personnelpublicgrievanceslawandjustice,kerala,attingal,communistpartyofindiamarxist,male,professionalpostgraduate,maecollmconsttlaw,55,187,3,310,0.78,57.5,1.8,231,0.8,117.7,3.4,348,0.78,Anirudhan Sampath
1,sushilkumarsingh,aurangabad,5,elected,2014-05-18T00:00:00Z,inoffice,sixth,coal&steel,bihar,aurangabad,bharatiyajanataparty,male,postgraduate,mapoliticalscience;educatedatancollegemagadhuniversitypatnabihar,54,71,3,357,0.9,57.5,1.8,231,0.8,51.3,2.7,159,0.88,Sushil Kumar Singh
1,chandrakantbkhaire,aurangabad,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,birensinghengti,autonomousdistrict,6,elected,2014-05-18T00:00:00Z,inoffice,seventh,ruraldevelopment,assam,autonomousdistrict,indiannationalcongress,male,postgraduate,mallb;educatedatguwahatiuniversityassam,72,0,1,1,0.82,57.5,1.8,231,0.8,42.8,0.5,128,0.75,Biren Singh Engti
1,mulayamsinghyadav,azamgarh,6,elected,2014-05-18T00:00:00Z,inoffice,sixth,labour,uttarpradesh,azamgarh,samajwadiparty,male,postgraduate,babtmapoliticalscience;educatedatkkcollegeetawahakcollegeshikohabadandbrcollegeagrauniversityagrauttarpradesh,78,40,0,0,0.81,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Mulayam Singh Yadav
1,dharmendrayadav,badaun,6,elected,2014-05-18T00:00:00Z,inoffice,third,agriculture,uttarpradesh,badaun,samajwadiparty,male,postgraduate,mallb;educatedatallahabaduniversityallahabaduttarpradesh,39,48,0,767,0.82,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Dharmendra Yadav
1,pcgaddigoudar,bagalkot,6,elected,2014-05-18T00:00:00Z,inoffice,third,finance,karnataka,bagalkot,bharatiyajanataparty,male,professionalgraduate,ballb;educatedatbasaveshwarartscollegebagalkotandrajalokhamagoudacollegebelgaum,66,8,0,94,0.87,57.5,1.8,231,0.8,41.9,0.3,304,0.81,P.C. Gaddigoudar
1,satyapalsingh,baghpat,6,elected,2014-05-18T00:00:00Z,inoffice,first,no,uttarpradesh,baghpat,bharatiyajanataparty,male,doctorate,mscmamphillphdmba,62,103,2,23,0.96,54.2,1.6,215,0.8,88.7,1.1,142,0.88,Satya Pal Singh
1,satyapalsingh,baghpat,6,elected,2014-05-18T00:00:00Z,inoffice,first,humanresourcedevelopment,uttarpradesh,sambhal,bharatiyajanataparty,male,postgraduate,mcomllb,44,17,0,173,0.97,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Satyapal Singh
1,adhirranjanchowdhury,baharampur,3,elected,2014-05-18T00:00:00Z,inoffice,fourth,homeaffairs,westbengal,baharampur,indiannationalcongress,male,undermatric,educatedaticinstituteberhamporewestbengal,61,101,5,166,0.83,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Adhir Ranjan Chowdhury
1,sadhvisavitribaiphule,bahraich,6,elected,2014-05-18T00:00:00Z,inoffice,first,railways,uttarpradesh,bahraich,bharatiyajanataparty,female,postgraduate,ma,37,37,0,19,0.77,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Savitri Bai Foole
1,bodhsinghbhagat,balaghat,6,elected,2014-05-18T00:00:00Z,inoffice,first,commerce,madhyapradesh,balaghat,bharatiyajanataparty,male,graduate,bsc,62,20,0,77,0.84,57.5,1.8,231,0.8,63.6,0.7,225,0.82,Bodhsingh Bhagat
1,rabindrakumarjena,balasore,6,elected,2014-05-18T00:00:00Z,inoffice,first,industry,odisha,balasore,bijujanatadal,male,professionalpostgraduate,mba,50,268,12,429,0.95,57.5,1.8,231,0.8,51.1,2.8,181,0.83,Rabindra Kumar Jena
1,bharatsingh,ballia,6,elected,2014-05-18T00:00:00Z,inoffice,first,healthandfamilywelfare,uttarpradesh,ballia,bharatiyajanataparty,male,graduate,ba,69,44,0,328,0.94,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Bharat Singh
1,kmarpitaghosh,balurghat,5,elected,2014-05-18T00:00:00Z,inoffice,first,transporttourismandculture,westbengal,balurghat,allindiatrinamoolcongress,female,graduate,bsc,51,17,0,25,0.64,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Arpita Ghosh
1,haribhaiparthibhaichaudhary,banaskantha,6,elected,2014-05-18T00:00:00Z,inoffice,fourth,no,gujarat,banaskantha,bharatiyajanataparty,male,graduate,educatedatmumbaiuniversitymumbaimaharashtra,63,7,0,12,0.97,5.1,0.1,18,0.8,4.1,0.3,18,0.84,Haribhai Parthibhai Chaudhary
1,bhaironprasadmishra,banda,6,elected,2014-05-18T00:00:00Z,inoffice,first,humanresourcedevelopment,uttarpradesh,banda,bharatiyajanataparty,male,inter/highersecondary,intermediate,63,1719,11,431,1,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Bhairon Prasad Mishra
1,pcmohan,bangalorecentral,6,elected,2014-05-18T00:00:00Z,inoffice,second,urbandevelopment,karnataka,bangalorecentral,bharatiyajanataparty,male,inter/highersecondary,educatedatvijiyacollege,54,21,0,268,0.86,57.5,1.8,231,0.8,41.9,0.3,304,0.81,P. C. Mohan
1,dvsadanandagowda,bangalorenorth,5,elected,2014-05-18T00:00:00Z,inoffice,third,no,karnataka,bangalorenorth,bharatiyajanataparty,male,professionalgraduate,bscllb;educatedatstphelomenacollegeputturdakshinakannadakarnatakaandvaikuntabaligalawcollgeudupi,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.V. Sadananda Gowda
1,dksuresh,bangalorerural,6,elected,2014-05-18T00:00:00Z,inoffice,second,informationtechnology,karnataka,bangalorerural,indiannationalcongress,male,inter/highersecondary,inter/highersecondary,51,83,0,508,0.9,57.5,1.8,231,0.8,41.9,0.3,304,0.81,D.K. Suresh
1,ananthkumar,bangaloresouth,6,elected,2014-05-18T00:00:00Z,inoffice,sixth,no,karnataka,bangaloresouth,bharatiyajanataparty,male,professionalgraduate,ballbspl;educatedatksartscollegeandjsslawcollegekarnatakauniversityhublikarnataka,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ananth Kumar
1,kapilkrishnathakur,bangaon,6,elected,2014-05-18T00:00:00Z,13/10/2014,first,no,westbengal,bangaon,allindiatrinamoolcongress,male,graduate,graduate,77,0,0,0,0.48,5.1,0.1,18,0.8,3.3,0,8,0.66,Kapil Krishna Thakur
1,jayprakashnarayanyadav,banka,5,elected,2014-05-18T00:00:00Z,inoffice,second,agriculture,bihar,banka,rashtriyajanatadal,male,postgraduate,"mallb
educatedatpatnauniversitypatnabihar",63,169,2,144,0.87,57.5,1.8,231,0.8,51.3,2.7,159,0.88,Jai Prakash Narayan Yadav
1,devvarmamoonmoonsen,bankura,6,elected,2014-05-18T00:00:00Z,inoffice,first,industry,westbengal,bankura,allindiatrinamoolcongress,female,postgraduate,ma,63,1,0,0,0.67,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Sreemati Dev Varma (Moon Moon Sen)
1,kamleshpaswan,bansgaon,5,elected,2014-05-18T00:00:00Z,inoffice,second,foodconsumeraffairs&publicdistributionandcommerce,uttarpradesh,bansgaon,bharatiyajanataparty,male,inter/highersecondary,educatedatstpaulsschoolicseboardgorakhpurandupboardgorakhpur,41,13,0,35,0.72,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Kamlesh Paswan
1,manshankarninama,banswara,6,elected,2014-05-18T00:00:00Z,inoffice,first,ruraldevelopment,rajasthan,banswara,bharatiyajanataparty,male,undermatric,undermatric,58,15,0,210,0.82,57.5,1.8,231,0.8,124,3.6,315,0.87,Manshankar Ninama
1,srirammalyadri,bapatla,4,elected,2014-05-18T00:00:00Z,inoffice,first,energy,andhrapradesh,bapatla,telugudesamparty,male,postgraduate,maeconomics,63,3,0,140,0.9,57.5,1.8,231,0.8,34.8,0.6,211,0.75,Malyadri Sriram
1,priyankasinghrawat,barabanki,6,elected,2014-05-18T00:00:00Z,inoffice,first,foodconsumeraffairs&publicdistribution,uttarpradesh,barabanki,bharatiyajanataparty,female,postgraduate,mapoliticalsciencemasscommunicationinelectronicmediainjournalism,32,34,0,0,0.86,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Priyanka Singh Rawat
1,supriyasule,baramati,6,elected,2014-05-18T00:00:00Z,inoffice,second,externalaffairs,maharashtra,baramati,nationalistcongressparty,female,graduate,bscmicrobiology;educatedatjaihindcollegemumbaimaharashtra,48,81,16,890,0.95,57.5,1.8,231,0.8,57.6,3.5,469,0.79,Supriya Sule
1,muzaffarhussainbaig,baramulla,1,elected,2014-05-18T00:00:00Z,inoffice,first,science&technologyenvironment&forests,jammuandkashmir,baramulla,jammuandkashmirpeoplesdemocraticparty,male,postgraduate,mastersfromharvardlawschool,71,2,0,19,0.12,57.5,1.8,231,0.8,25,0,68,0.54,Muzaffar Hussain Baig
1,kakolighoshdastidar,barasat,6,elected,2014-05-18T00:00:00Z,inoffice,second,homeaffairs,westbengal,barasat,allindiatrinamoolcongress,female,professionalpostgraduate,mbbspostgraduatetraininginobstetricultrasound;educatedatauxiliumconventloretohousergkarmedicalcollegeking'scollegelondon,58,15,1,9,0.58,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Kakoli Ghosh Dastidar
1,sunilkumarmondal,bardhamanpurba,6,elected,2014-05-18T00:00:00Z,inoffice,first,foodconsumeraffairs&publicdistribution,westbengal,bardhamanpurba,allindiatrinamoolcongress,male,professionalgraduate,babed,59,6,0,292,0.86,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Sunil Kumar Mondal
1,mamtazsanghamita,bardhaman-durgapur,6,elected,2014-05-18T00:00:00Z,inoffice,first,externalaffairs,westbengal,bardhaman-durgapur,allindiatrinamoolcongress,female,professionalpostgraduate,mdobstandgynae,72,60,0,27,0.85,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Mamtaz Sanghamita
1,parbhubhaivasava,bardoli,6,elected,2014-05-18T00:00:00Z,inoffice,first,science&technologyenvironment&forests,gujarat,bardoli,bharatiyajanataparty,male,diplomacourse,diplomainmechanicalengineering,47,16,0,171,0.79,57.5,1.8,231,0.8,36.2,2,219,0.84,Vasava Parbhubhai Nagarbhai
1,santoshgangwar,bareilly,1,elected,2014-05-18T00:00:00Z,inoffice,seventh,no,uttarpradesh,bareilly,bharatiyajanataparty,male,professionalgraduate,bscllb;educatedatagrauniversityandrohilkhanduniversitybareillyuttarpradesh,69,0,0,0,NA,0,0,0,NA,0,0,0,NA,Santosh Kumar Gangwar
1,prabhaskumarsingh,bargarh,6,elected,2014-05-18T00:00:00Z,inoffice,first,humanresourcedevelopment,odisha,bargarh,bijujanatadal,male,doctorate,maphd,53,50,0,108,0.86,57.5,1.8,231,0.8,51.1,2.8,181,0.83,Prabhas Kumar Singh
1,sonaramchoudhary,barmer,6,elected,2014-05-18T00:00:00Z,inoffice,fourth,defence,rajasthan,barmer,bharatiyajanataparty,male,professionalgraduate,befellowfie;educatedatmultipurposehighersecondaryschoolmbmengineeringcollegejodhpurrajasthanandinstituteofengineersindia,72,37,0,308,0.96,57.5,1.8,231,0.8,124,3.6,315,0.87,Sona Ram
1,sirajuddinajmal,barpeta,3,elected,2014-05-18T00:00:00Z,inoffice,first,externalaffairs,assam,barpeta,allindiauniteddemocraticfront,male,undergraduate,bscfinalyear,60,28,0,231,0.37,57.5,1.8,231,0.8,42.8,0.5,128,0.75,Siraj Uddin Ajmal
1,dineshtrivedi,barrackpur,1,elected,2014-05-18T00:00:00Z,inoffice,second,finance,westbengal,barrackpur,allindiatrinamoolcongress,male,professionalpostgraduate,mba,67,19,0,206,0.8,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Dinesh Trivedi
1,idrisali,basirhat,6,elected,2014-05-18T00:00:00Z,inoffice,first,coal&steel,westbengal,basirhat,allindiatrinamoolcongress,male,professionalgraduate,bscllb,67,19,0,17,0.68,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Idris Ali
1,dineshkashyap,bastar,6,elected,2014-05-18T00:00:00Z,inoffice,second,foodconsumeraffairs&publicdistribution,chhattisgarh,bastar,bharatiyajanataparty,male,others,NA,55,6,0,4,0.77,57.5,1.8,231,0.8,22.8,0.1,171,0.85,Dinesh Kashyap
1,harishdwivedi,basti,6,elected,2014-05-18T00:00:00Z,inoffice,first,energyandinformationtechnology,uttarpradesh,basti,bharatiyajanataparty,male,postgraduate,postgraduate,44,31,0,236,0.86,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Harish Chandra Alias Harish Dwivedi
1,harsimratkaurbadal,bathinda,4,elected,2014-05-18T00:00:00Z,inoffice,second,no,punjab,bathinda,shiromaniakalidal,female,graduate,degreeindressdesigning,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harsimrat Kaur Badal
1,bholasingh,begusarai,3,elected,2014-05-18T00:00:00Z,inoffice,first,foodconsumeraffairs&publicdistribution,uttarpradesh,bulandshahr,bharatiyajanataparty,male,graduate,graduate,40,18,9,124,0.99,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Bhola Singh
1,bholasingh,begusarai,3,elected,2014-05-18T00:00:00Z,inoffice,second,petroleum&naturalgas,bihar,begusarai,bharatiyajanataparty,male,doctorate,maphd;educatedatpatnauniversityandlalitnarayanmithilauniversitydarbhangabihar,83,46,0,262,0.86,57.5,1.8,231,0.8,51.3,2.7,159,0.88,Dr Bhola Singh
1,sureshcangadi,belgaum,6,elected,2014-05-18T00:00:00Z,inoffice,third,defence,karnataka,belgaum,bharatiyajanataparty,male,professionalgraduate,bcomllbspl;educatedatssssamiticollegeofcommercebelgaumand;rllawcollegebelgaum,62,36,0,26,0.92,57.5,1.8,231,0.8,41.9,0.3,304,0.81,Suresh Channabasappa Angadi
1,bsreeramulu,bellary,6,elected,2014-05-18T00:00:00Z,inoffice,first,homeaffairs,karnataka,bellary,bharatiyajanataparty,male,graduate,ba,46,20,0,509,0.54,57.5,1.8,231,0.8,41.9,0.3,304,0.81,B. Sreeramulu
1,sidhantmohapatra,berhampur,5,elected,2014-05-18T00:00:00Z,inoffice,second,waterresources,odisha,berhampur,bijujanatadal,male,professionalpostgraduate,mba;educatedatinstituteofmarketingandmanagement,51,6,0,0,0.69,57.5,1.8,231,0.8,51.1,2.8,181,0.83,Sidhant Mohapatra
1,jyotidhurve,betul,5,elected,2014-05-18T00:00:00Z,inoffice,second,coal&steel,madhyapradesh,betul,bharatiyajanataparty,female,postgraduate,mapoliticalscienceeducatedatdurgamahavidhyalaraipurchattisgarh,51,56,0,206,0.83,57.5,1.8,231,0.8,63.6,0.7,225,0.82,Jyoti Dhurve
1,virendrasingh,bhadohi,6,elected,2014-05-18T00:00:00Z,inoffice,third,agriculture,uttarpradesh,bhadohi,bharatiyajanataparty,male,graduate,ba,61,24,0,9,0.92,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Virendra Singh
1,arjuncharansethi,bhadrak,6,elected,2014-05-18T00:00:00Z,inoffice,eighth,agriculture,odisha,bhadrak,bijujanatadal,male,postgraduate,ma;educatedatkcvidyamandiragarpadabhadrakcollegeuniversitycollegevaniviharbhubaneswarorissa,76,1,0,32,0.83,57.5,1.8,231,0.8,51.1,2.8,181,0.83,Arjun Charan Sethi
1,shaileshkumarbulomandal,bhagalpur,5,elected,2014-05-18T00:00:00Z,inoffice,first,coal&steel,bihar,bhagalpur,rashtriyajanatadal,male,graduate,graduate,42,46,3,59,0.8,57.5,1.8,231,0.8,51.3,2.7,159,0.88,Shailesh Kumar Urph Bulo Mandal
